brand,model,price_usd,average_rating,battery_score,camera_score,performance_score,design_score,display_score,helpful_votes,review_count,verified_purchase_ratio,overall_quality_score,positive_sentiment_ratio,cluster,segment,PCA1,PCA2
Apple,iPhone 13,1083.938687040181,3.150537634408602,2.754951895868704,2.754951895868704,2.765138653084324,2.765138653084324,2.710243350311262,3.7430673457838144,1767,0.7951329937747594,2.750084889643464,0.5874363327674024,2,Premium High-Rated Segment,3.871709427441434,2.5453191745532338
Apple,iPhone 14,1077.6106935123041,3.1761744966442955,2.738255033557047,2.7818791946308723,2.7237136465324383,2.773489932885906,2.7589485458612977,3.690715883668904,1788,0.8154362416107382,2.7552572706935123,0.593400447427293,2,Premium High-Rated Segment,4.963526612277149,2.106392100577992
Apple,iPhone 15 Pro,1076.7569129949804,3.079196876742889,2.6776352481873955,2.7071946458449525,2.661461238148355,2.675404350250976,2.691020635805912,3.5705521472392636,1793,0.7852760736196319,2.6825432236475186,0.5599553820412716,3,Premium Lower-Rated Segment,-4.385427658265248,1.5538621201236014
Apple,iPhone SE,1082.581433741648,3.096881959910913,2.727728285077951,2.7037861915367483,2.7321826280623607,2.6909799554565703,2.735523385300668,3.5757238307349666,1796,0.7962138084632516,2.71804008908686,0.5673719376391982,1,Mid-Range Segment,-0.8973085570783906,1.0841526401831525
Google,Pixel 6,801.0824148802018,3.112232030264817,2.712063892391761,2.7099621689785622,2.689785624211854,2.7061790668348045,2.7154266498528794,3.691046658259773,2379,0.8003362757461118,2.7066834804539726,0.5804960067255149,1,Mid-Range Segment,-0.42408878493940033,0.38335030251296387
Google,Pixel 7a,799.3172021880065,3.1195299837925448,2.715964343598055,2.7321717990275527,2.7256888168557536,2.7212317666126418,2.7487844408427877,3.620745542949757,2468,0.7982171799027553,2.7287682333873584,0.5725283630470016,1,Mid-Range Segment,0.7503289999955427,-0.2939535782483444
Google,Pixel 8,791.9282090490155,3.122748219522413,2.731881022203603,2.7155425219941347,2.6912442396313363,2.7436112274821953,2.737746124842899,3.6003351487222455,2387,0.8206954335986594,2.7240050272308336,0.5722664432341852,1,Mid-Range Segment,0.7775558232186726,-0.2602913261538455
Motorola,Edge 50,515.415494600432,3.0872570194384448,2.6747300215982723,2.701511879049676,2.704535637149028,2.6885529157667385,2.70755939524838,3.631533477321814,2315,0.803023758099352,2.695377969762419,0.5706263498920087,1,Mid-Range Segment,-2.4832761840946342,-0.9965408137970758
Motorola,Moto G Power,510.95055082943435,3.1225010633772863,2.7150148872820075,2.7060825180774137,2.716290940025521,2.716290940025521,2.7192683964270525,3.6465333900467884,2351,0.8179498085920884,2.714589536367503,0.5767758400680562,1,Mid-Range Segment,0.21122121499045127,-0.936344832483434
Motorola,Razr 40,511.7997766179541,3.1039665970772443,2.713152400835073,2.6839248434237994,2.7302713987473903,2.7248434237995824,2.724008350730689,3.632985386221294,2395,0.7991649269311065,2.7152400835073065,0.5594989561586639,1,Mid-Range Segment,-0.9882663473207097,-1.257616737270584
OnePlus,OnePlus 11R,671.2317406494041,3.1122071516646117,2.704480065762433,2.7077681874229347,2.713522400328812,2.703247020139745,2.7168105219893137,3.6477599671187835,2433,0.7969584874640362,2.709165639128648,0.5659679408138101,1,Mid-Range Segment,-1.0179583825656924,-0.4857502982461289
OnePlus,OnePlus 12,668.5095587602239,3.128712871287129,2.727507533362032,2.746448557899268,2.721050365906156,2.718897976754197,2.709427464485579,3.7025398191993113,2323,0.7830391734825657,2.7246663796814463,0.5729659922513991,1,Mid-Range Segment,0.8275599278716476,0.4622088343437104
OnePlus,OnePlus Nord 3,671.1906155462185,3.1365546218487395,2.7327731092436975,2.734033613445378,2.7361344537815127,2.676890756302521,2.7407563025210084,3.6584033613445377,2380,0.8029411764705883,2.7241176470588235,0.5873949579831933,1,Mid-Range Segment,1.4614431139489996,-0.24167326540326287
Realme,Realme 12 Pro,407.67733239038193,3.1405940594059407,2.7244695898161244,2.7142857142857144,2.7632248939179633,2.7340876944837342,2.758415841584158,3.717397454031117,3535,0.7983026874115983,2.738896746817539,0.5858557284299859,0,Value Segment,2.793228252143831,-2.586455067727958
Realme,Realme Narzo 70,404.0958034473172,3.120378092855157,2.736725048651654,2.729218793438977,2.7450653322212957,2.714484292465944,2.733666944676119,3.6127328329163193,3597,0.8020572699471782,2.731832082290798,0.5757575757575758,0,Value Segment,1.3544466219666569,-2.7962481768982475
Samsung,Galaxy A55,894.1414513422819,3.088926174496644,2.721476510067114,2.6761744966442955,2.661633109619687,2.6940715883668904,2.651006711409396,3.6599552572706937,1788,0.8070469798657718,2.6808724832214765,0.5760626398210291,3,Premium Lower-Rated Segment,-2.9638711575714147,1.6405108711767293
Samsung,Galaxy Note 20,887.7731665735048,3.1442146450531023,2.7406372275013973,2.7294577976523198,2.75684740078256,2.747344885410844,2.7255449972051426,3.680827277808832,1789,0.8038010061486864,2.739966461710453,0.5751816657350475,2,Premium High-Rated Segment,2.37779015924274,1.2034624424116653
Samsung,Galaxy S24,882.4073566155594,3.0715502555366268,2.6780238500851787,2.663827370812039,2.650198750709824,2.676320272572402,2.670641680863146,3.598523566155593,1761,0.7927314026121521,2.6678023850085184,0.5610448608745031,3,Premium Lower-Rated Segment,-5.416462027786217,1.025155568893605
Samsung,Galaxy Z Flip,886.5630250875146,3.128354725787631,2.7257876312718787,2.739206534422404,2.750291715285881,2.693115519253209,2.7421236872812136,3.6400233372228703,1714,0.7981330221703618,2.7301050175029173,0.5764294049008168,1,Mid-Range Segment,1.1187464306920538,1.0168605316782307
Xiaomi,Mi 13 Pro,458.9664192229039,3.0936605316973416,2.7022494887525563,2.6985685071574643,2.667075664621677,2.6695296523517382,2.710838445807771,3.658077709611452,2445,0.7979550102249489,2.6896523517382414,0.5750511247443763,1,Mid-Range Segment,-2.368843116029836,-0.8569105925379527
Xiaomi,Poco X6,457.4884802235598,3.1190885640584693,2.7115219260533103,2.72871883061049,2.7639724849527085,2.7562338779019777,2.716251074806535,3.5494411006018916,2326,0.8026655202063628,2.7353396388650046,0.5580395528804815,1,Mid-Range Segment,0.3542837635570812,-1.4399570632620962
Xiaomi,Redmi Note 13,459.7368724696356,3.113765182186235,2.721052631578947,2.723886639676113,2.717004048582996,2.7093117408906884,2.697975708502024,3.625910931174089,2470,0.8101214574898785,2.7138461538461542,0.5834008097165992,1,Mid-Range Segment,0.08366186830528269,-0.8695328344259549
